1,101,201
1,102,229
1,103,217
1,104,205
2,201,301
2,202,301
2,203,302
2,204,302
2,205,303
2,206,303
2,207,304
2,208,304
2,301,401
2,302,401
2,303,402
2,304,402
2,401,501
2,402,501
2,501,601
3,217,309
3,218,309
3,219,310
3,220,310
3,221,311
3,222,311
3,223,312
3,224,312
3,309,405
3,310,405
3,311,406
3,312,406
3,405,503
3,406,503
3,503,602
4,209,305
4,210,305
4,211,306
4,212,306
4,213,307
4,214,307
4,215,308
4,216,308
4,305,403
4,306,403
4,307,404
4,308,404
4,403,502
4,404,502
4,502,601
5,225,313
5,226,313
5,227,314
5,228,314
5,229,315
5,230,315
5,231,316
5,232,316
5,313,407
5,314,407
5,315,408
5,316,408
5,407,504
5,408,504
5,504,602
6,601,701
6,602,701
6,701,
